project	study	category	file_path	access_level	warehouse_uri	notes_consortium	notes_sex	notes_source_id	build	population	total_variants	total_samples	total_cases	total_controls	trait_desc
opengwas	bbj-a	GWAS	data/dataset/bbj-a-1.gwaslab.tsv.sampled.gz	public	s3://gwasstudio		Combined	bbj-a-1	GRCh37	EAS	10	158284			Body mass index
opengwas	bbj-a	GWAS	data/dataset/bbj-a-2.gwaslab.tsv.sampled.gz	public	s3://gwasstudio		Males	bbj-a-2	GRCh37	EAS	10	85894			Body mass index
opengwas	bbj-a	GWAS	data/dataset/bbj-a-3.gwaslab.tsv.sampled.gz	public	s3://gwasstudio		Females	bbj-a-3	GRCh37	EAS	10	72390			Body mass index
opengwas	ebi-a	GWAS	data/dataset/ebi-a-GCST004904.gwaslab.tsv.sampled.gz	public	s3://gwasstudio			ebi-a-GCST004904	GRCh37	EAS	10	158284			Body mass index
opengwas	ieu-a	GWAS	data/dataset/ieu-a-1089.gwaslab.tsv.sampled.gz	public	s3://gwasstudio	UK Biobank	Combined	ieu-a-1089	GRCh37	EUR	10	120286			Body mass index
opengwas	ieu-a	GWAS	data/dataset/ieu-a-2.gwaslab.tsv.sampled.gz	public	s3://gwasstudio	GIANT	Combined	ieu-a-2	GRCh37	Other admixed ancestry	10	338224			Body mass index
opengwas	ieu-a	GWAS	data/dataset/ieu-a-785.gwaslab.tsv.sampled.gz	public	s3://gwasstudio	GIANT	Males	ieu-a-785	GRCh37	EUR	10	152893			Body mass index
opengwas	ieu-a	GWAS	data/dataset/ieu-a-85.gwaslab.tsv.sampled.gz	protected	s3://gwasstudio	GIANT	Combined	ieu-a-85	GRCh37	EUR	10	16068	7962	8106	Extreme body mass index
opengwas	ieu-a	GWAS	data/dataset/ieu-a-974.gwaslab.tsv.sampled.gz	resticted	s3://gwasstudio	GIANT	Females	ieu-a-974	GRCh37	EUR	10	171977			Body mass index
opengwas	ieu-b	GWAS	data/dataset/ieu-b-40.gwaslab.tsv.sampled.gz	restricted	s3://gwasstudio	GIANT	Combined	ieu-b-40	GRCh37	EUR	10	681275			body mass index
opengwas	ieu-b	GWAS	data/dataset/ieu-b-5117.gwaslab.tsv.sampled.gz	protected	s3://gwasstudio	GIANT	Females	ieu-b-5117	GRCh37	EUR	10	246511			Adult BMI females
opengwas	ukb-a	GWAS	data/dataset/ukb-a-248.gwaslab.tsv.sampled.gz	public	s3://gwasstudio	Neale Lab	Combined	ukb-a-248	GRCh37	EUR	10	336107			Body mass index (BMI)
opengwas	ukb-a	GWAS	data/dataset/ukb-a-264.gwaslab.tsv.sampled.gz	public	s3://gwasstudio	Neale Lab	Combined	ukb-a-264	GRCh37	EUR	10	336107			Body fat percentage
opengwas	ukb-b	GWAS	data/dataset/ukb-b-19953.gwaslab.tsv.sampled.gz	public	s3://gwasstudio	MRC-IEU	Combined	ukb-b-19953	GRCh37	EUR	10	454137			Whole body fat mass
opengwas	ukb-b	GWAS	data/dataset/ukb-b-2303.gwaslab.tsv.sampled.gz	public	s3://gwasstudio	MRC-IEU	Combined	ukb-b-2303	GRCh37	EUR	10	454884			Body mass index (BMI)
