project	study	category	file_path	notes_sex	notes_source_id	build	population	total_samples	total_cases	total_controls	trait_desc
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-550/ukb-a-550.gwaslab.tsv.gz	Males and Females	ukb-a-550	GRCh38	European	337199	1536	335663	Diagnoses - main ICD10: K43 Ventral hernia
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-91/ukb-a-91.gwaslab.tsv.gz	Males and Females	ukb-a-91	GRCh38	European	337159	5168	331991	Non-cancer illness code  self-reported: uterine fibroids
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-89/ukb-a-89.gwaslab.tsv.gz	Males and Females	ukb-a-89	GRCh38	European	337159	1836	335323	Non-cancer illness code  self-reported: iron deficiency anaemia
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-577/ukb-a-577.gwaslab.tsv.gz	Males and Females	ukb-a-577	GRCh38	European	337199	4840	332359	Diagnoses - main ICD10: N81 Female genital prolapse
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-579/ukb-a-579.gwaslab.tsv.gz	Males and Females	ukb-a-579	GRCh38	European	337199	181	337018	Diagnoses - main ICD10: O75 Other complications of labour and delivery  not elsewhere classified
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-581/ukb-a-581.gwaslab.tsv.gz	Males and Females	ukb-a-581	GRCh38	European	337199	16552	320647	Diagnoses - main ICD10: R07 Pain in throat and chest
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-84/ukb-a-84.gwaslab.tsv.gz	Males and Females	ukb-a-84	GRCh38	European	337159	762	336397	Non-cancer illness code  self-reported: bone disorder
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-72/ukb-a-72.gwaslab.tsv.gz	Males and Females	ukb-a-72	GRCh38	European	337159	2694	334465	Non-cancer illness code  self-reported: kidney stone/ureter stone/bladder stone
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-79/ukb-a-79.gwaslab.tsv.gz	Males and Females	ukb-a-79	GRCh38	European	337159	3536	333623	Non-cancer illness code  self-reported: glaucoma
opengwas	ukb-a	GWAS	/scratch/gianmauro.cuccuru/projects/cdh/ukb/results/outputs/ukb-a-591/ukb-a-591.gwaslab.tsv.gz	Males and Females	ukb-a-591	GRCh38	European	337199	553	336646	Diagnoses - main ICD10: S66 Injury of muscle and tendon at wrist and hand level
